Business name,features
royal oak inn,"33.975238499999996, -118.29128759999999, Hotel, 3.6, California"
DEFY Sparks,"39.5318234, -119.72128079999999, Group accommodation, 4.7, Nevada"
Lookout Lodge Resort,"24.970901299999998, -80.5580128, Hotel, 4.1, Florida"
New Ebony Hotel,"40.800419399999996, -73.95405099999999, Hotel, 3.3, New York"
Elks Lodge #2492,"34.265422699999995, -118.6598621, Lodge, 4.5, California"
The Wildflower Country Inn and Event Center,"29.9430053, -98.1018268, Group accommodation, 5.0, Texas"
Eastwind Beach Club,"26.4651298, -80.0580265, Indoor lodging, 4.6, Florida"
Fido's Kitchen,"36.143276, -115.26288699999999, Pet friendly accommodation, 5.0, Nevada"
Padre Escapes Vacation Rentals,"27.607846, -97.22258, Indoor lodging, 4.3, Texas"
Koson Bungalows,"41.7356592, -74.59972929999999, Resort hotel, 4.6, New York"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Inn, 3.7, Florida"
Winters Creek Lodge,"39.3182812, -119.8698015, Ski resort, 4.6, Nevada"
El Camino Motel,"30.6908779, -96.36904899999999, Motel, 3.4, Texas"
Padre Escapes Vacation Rentals,"27.607846, -97.22258, Indoor lodging, 4.3, Texas"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Seville Hotel & Apartments,"26.125639999999997, -80.1047574, Hotel, 4.1, Florida"
Riverbend Retreat Center,"32.2052806, -97.6934668, Retreat center, 4.8, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
The Villas at Seven Dwarfs,"28.324064999999997, -81.466306, Resort hotel, 4.5, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Americas Best Value Inn Las Vegas,"36.0995491, -115.1652331, Motel, 2.9, Nevada"
The Suites Boulder Highway,"36.116724999999995, -115.0679423, Extended stay hotel, 3.6, Nevada"
OYO Hotel Yoakum West,"29.2997072, -97.159109, Hotel, 4.6, Texas"
Recharge Bar & Grill,"39.5540812, -119.4900325, Hotel, 3.6, Nevada"
Conch On Inn Motel,"24.9857795, -80.5448567, Motel, 4.4, Florida"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Legion RV Park,"31.3054869, -95.450643, Lodging, 4.2, Texas"
Americas Best Value Inn Las Vegas,"36.0995491, -115.1652331, Hotel, 2.9, Nevada"
Longhorn Resort,"30.647118499999998, -98.44601349999999, Resort hotel, 4.1, Texas"
Desert Star Motel,"36.1564854, -115.1496189, Motel, 3.0, Nevada"
LaFleur de Beaute Inc,"43.026713, -76.04328699999999, Resort hotel, 4.5, New York"
Dolphin Marina and Cottages,"24.6655251, -81.38681, Indoor lodging, 4.3, Florida"
Siesta del Mar,"28.3801448, -80.6001083, Lodging, 4.0, Florida"
Roundhouse Inn,"39.1729477, -119.7670934, Motel, 2.8, Nevada"
Century Lodging,"31.8223934, -103.9046173, Hotel, 4.7, Texas"
Yorktown Animal Hospital,"41.2756113, -73.7798919, Pet friendly accommodation, 4.5, New York"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Carriage Hills Subdivision,"32.3673263, -99.7216705, Lodging, 4.5, Texas"
Delta Inn,"29.5258693, -98.3945007, Motel, 2.7, Texas"
Mentone Beach Moose Lodge,"34.070712, -117.11845299999999, Lodge, 4.5, California"
Cocoa Beach Towers,"28.3700065, -80.6027483, Holiday accommodation service, 4.6, Florida"
Newman’s Castle,"29.980275, -96.3042103, Lodging, 4.6, Texas"
Scottish Inns,"27.742319, -98.0844982, Inn, 3.4, Texas"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
Riverbend Retreat Center,"32.2052806, -97.6934668, Retreat center, 4.8, Texas"
Jackie Robinson Training Complex,"27.6430103, -80.4282588, Hotel, 4.4, Florida"
Catfish Cabins,"30.837275199999997, -95.1347187, Cabin rental agency, 4.8, Texas"
Blue Water Retreat,"28.988652799999997, -95.24007499999999, Indoor lodging, 4.4, Texas"
Relax Inn,"32.511832, -94.82979619999999, Motel, 3.6, Texas"
Dolphin Court Salon & Day Spa,"36.194575, -115.25898049999999, Resort hotel, 4.4, Nevada"
Circle F,"27.8778708, -81.5084796, Hotel, 4.8, Florida"
Alamo Ranch Fall Market,"29.4775572, -98.7434116, Lodging, 4.3, Texas"
Super 8 by Wyndham Karnes City,"28.882657, -97.8929086, Hotel, 3.8, Texas"
Acra Manor Resort,"42.3099546, -74.0538134, Lodging, 4.0, New York"
Budget Inn-Beaumont,"30.067528399999997, -94.15233479999999, Motel, 3.7, Texas"
Kusak Lodge,"43.2394062, -77.578565, Lodge, 4.7, New York"
OYO Hotel Yoakum West,"29.2997072, -97.159109, Motel, 4.6, Texas"
Best Western Golden Triangle Inn - Closed,"32.83439, -117.17341599999999, Hotel, 3.2, California"
Tay House Lodge,"43.141749999999995, -77.5660833, Lodge, 4.3, New York"
Canine Cabana,"27.8576686, -82.2846419, Pet friendly accommodation, 4.8, Florida"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Twin Palms Resort & Marina,"28.8463592, -81.8867331, Lodging, 2.4, Florida"
Beaver Lake Estates,"41.620946599999996, -74.6609958, Resort hotel, 4.8, New York"
Lake Cisco Rentals Cabins,"32.4370802, -99.0042168, Hotel, 4.7, Texas"
Sherman Rooming House,"29.7369851, -95.3000223, Indoor lodging, 3.1, Texas"
Countryside RV Park of South Texas,"27.2405094, -98.13673109999999, Resort hotel, 4.5, Texas"
Surf Inn,"33.399695799999996, -117.5945876, Hotel, 3.6, California"
OYO Hotel Yoakum West,"29.2997072, -97.159109, Hotel, 4.6, Texas"
Buffalo Airport Inn,"42.950626299999996, -78.693213, Motel, 2.4, New York"
Suwannee River Motel,"29.5796273, -82.9188466, Motel, 3.5, Florida"
Valley Motel,"32.775951299999996, -97.36727139999999, Hotel, 2.8, Texas"
Knollwood Lodge,"43.1862, -77.88738, Indoor lodging, 4.1, New York"
Buffalo Airport Inn,"42.950626299999996, -78.693213, Motel, 2.4, New York"
Lakota's Farm Weddings & Events,"43.053543, -73.40914, Retreat center, 4.8, New York"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Extended stay hotel, 2.8, Florida"
Summit Inn Hotel & Suites,"29.891854, -97.915345, Inn, 2.1, Texas"
Wonder Vacation Homes,"28.347375, -81.4143155, Resort hotel, 3.8, Florida"
Howard Johnson Inn & Suites San Antonio Near AT&T Center,"29.451575499999997, -98.4220119, Lodge, 3.9, Texas"
The Wildflower Country Inn and Event Center,"29.9430053, -98.1018268, Lodge, 5.0, Texas"
Parkstead Watertown at Black River,"43.9737619, -75.884455, Lodging, 3.6, New York"
Manatee Cove,"25.235439, -80.4296519, Lodging, 4.7, Florida"
Kalahari Resorts and Conventions,"30.5193023, -97.63414759999999, Resort hotel, 4.4, Texas"
Villa Madeira,"27.793437899999997, -82.792366, Hotel, 4.5, Florida"
Bonita Village Resort,"26.3307488, -81.8188626, Indoor lodging, 4.7, Florida"
Historic Carson Hot Springs,"39.193320199999995, -119.7519016, Resort hotel, 4.3, Nevada"
Pet Express Wash,"41.1095097, -73.79626499999999, Pet friendly accommodation, 4.8, New York"
Comfort Inn & Suites Airport - Wolf Road,"42.710347, -73.821376, Hotel, 4.0, New York"
Rayburn Country Resort Golf Course,"31.074375099999997, -94.0259552, Resort hotel, 4.3, Texas"
Prairie Creek Lodge,"29.586341299999997, -82.2408643, Lodge, 4.9, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Motel Oasis,"32.7218418, -97.30409379999999, Motel, 2.8, Texas"
Staybridge Suites Jacksonville,"30.2704964, -81.5609952, Hotel, 4.6, Florida"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Sunset Beach Cottages of Treasure Island,"27.755107199999998, -82.76391939999999, Indoor lodging, 5.0, Florida"
Conch On Inn Motel,"24.9857795, -80.5448567, Hotel, 4.4, Florida"
Piedmont Cafe,"31.7942653, -106.50957819999999, Pet friendly accommodation, 4.8, Texas"
"Hotel Brendle, Robstown, TX","27.7879908, -97.6614446, Hotel, 3.8, Texas"
Palace Inn 59 & Greens Rd,"29.9475338, -95.2939349, Hotel, 3.8, Texas"
Windhill Ranch,"32.410984, -97.50709529999999, Inn, 4.9, Texas"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Hotel, 3.5, Texas"
Budget Inn,"30.652139499999997, -97.010266, Motel, 2.8, Texas"
Painted Pony Tea Room & Cafe ~ Musical Murder Mystery Dinner Theater,"32.759972399999995, -97.7976553, Self-catering accommodation, 4.8, Texas"
OYO Hotel Yoakum West,"29.2997072, -97.159109, Extended stay hotel, 4.6, Texas"
Kozy Acres,"41.6399932, -74.6789368, Lodging, 4.9, New York"
La Quinta Inn by Wyndham,"32.7040649, -96.27665309999999, Hotel, 3.6, Texas"
Wingate by Wyndham Miramar,"25.9832592, -80.3473305, Inn, 3.5, Florida"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Resort hotel, 4.4, Nevada"
Mentone Beach Moose Lodge,"34.070712, -117.11845299999999, Lodge, 4.5, California"
Puddingstone Resort,"34.081727, -117.79104099999999, Resort hotel, 4.3, California"
Americas Best Value Inn Conroe,"30.2957455, -95.46614699999999, Motel, 2.8, Texas"
Slb Camp Midland2,"31.879129499999998, -102.2135058, Lodging, 3.5, Texas"
Gatewood MOTEL,"36.1513294, -115.1072751, Motel, 3.3, Nevada"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Acra Manor Resort,"42.3099546, -74.0538134, Resort hotel, 4.0, New York"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Howard Johnson Inn Austin I-35,"30.228733499999997, -97.7430634, Lodge, 2.4, Texas"
Scottish Inns,"27.742319, -98.0844982, Indoor lodging, 3.4, Texas"
Animal Hospital of Collin County,"33.0810163, -96.6756934, Pet friendly accommodation, 4.8, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Diana Motel,"27.9613558, -82.76220889999999, Motel, 3.3, Florida"
Jackie Robinson Training Complex,"27.6430103, -80.4282588, Hotel, 4.4, Florida"
Tony's Motel,"28.6423998, -81.4590734, Motel, 3.0, Florida"
Knights Inn San Antonio/Near Seaworld,"29.4096546, -98.65098499999999, Inn, 2.7, Texas"
Maple Ski Ridge,"42.8177282, -74.03164819999999, Ski resort, 4.5, New York"
Howard Johnson Inn Austin I-35,"30.228733499999997, -97.7430634, Motel, 2.4, Texas"
Angelina Lakeside Inn,"28.6634727, -81.8511359, Motel, 3.5, Florida"
Americas Best Value Inn,"30.520492899999997, -97.6899574, Motel, 3.3, Texas"
Rodeway Inn Near Florida Mall,"28.468061, -81.39614399999999, Hotel, 2.7, Florida"
Coliseum Motor Inn,"40.7230485, -73.57426989999999, Motel, 2.5, New York"
Briggs Ranch Golf Club,"29.407543, -98.759908, Resort hotel, 4.9, Texas"
Red Roof Inn Orlando West,"28.5527265, -81.5461443, Inn, 3.7, Florida"
Palace Inn 59 & Greens Rd,"29.9475338, -95.2939349, Hotel, 3.8, Texas"
Cocoa Beach Towers,"28.3700065, -80.6027483, Hotel, 4.6, Florida"
Stateline Casino,"36.8036618, -114.0791419, Hotel, 3.8, Nevada"
Valley View Venue,"29.8972034, -82.47356409999999, Lodging, 4.9, Florida"
Comfort Motel,"32.7659568, -96.8472767, Motel, 2.8, Texas"
Big Bear Getaway,"34.2601867, -116.8602002, Cabin rental agency, 3.3, California"
Super 8 Laredo,"27.523114999999997, -99.503931, Lodge, 3.5, Texas"
Siena Golf Club,"36.107853999999996, -115.32462299999999, Resort hotel, 4.4, Nevada"
Painted Pony Tea Room & Cafe ~ Musical Murder Mystery Dinner Theater,"32.759972399999995, -97.7976553, Self-catering accommodation, 4.8, Texas"
Acra Manor Resort,"42.3099546, -74.0538134, Lodge, 4.0, New York"
The Ritz-Carlton Members Golf Club,"27.41403, -82.3883819, Resort hotel, 4.8, Florida"
Amco Hotel and Suites/ Fort Hood,"31.118394799999997, -97.7433471, Hotel, 2.6, Texas"
5 Star Island,"25.775873999999998, -80.15137059999999, Hotel, 4.1, Florida"
Cedarkirk Cedar Lodge,"27.8730062, -82.1792337, Lodge, 4.8, Florida"
Watts RV Park Rental Cabins,"32.664463, -94.983575, Homestay, 3.8, Texas"
The Castaways On the River,"29.1658458, -81.52429, Motel, 4.5, Florida"
Niagara Shores Campground and Conference Center,"43.3429024, -78.6801596, Indoor lodging, 4.8, New York"
Gray Lodge #329 Masonic Lodge,"29.737976, -95.6482467, Lodge, 4.8, Texas"
Days Inn & Suites Plano Medical Center/Dallas,"33.0115298, -96.7979364, Motel, 2.5, Texas"
Rodeway Inn,"27.484928, -97.849824, Motel, 3.3, Texas"
Emiliano Breit Salon & Spa,"25.747768999999998, -80.2583057, Resort hotel, 4.9, Florida"
Holiday Inn Buffalo-Downtown,"42.9010884, -78.8739514, Hotel, 3.7, New York"
Microtel Inn & Suites by Wyndham San Antonio Airport North,"29.580441, -98.475115, Hotel, 3.5, Texas"
Yogi Bear RV Campground,"30.0717462, -99.2055348, Lodging, 4.8, Texas"
Hawthorn Suites By Wyndham Jacksonville,"30.2221014, -81.5760727, Lodge, 2.8, Florida"
Ocean Queen,"26.049395, -80.1125265, Hotel, 4.8, Florida"
Beaches Jet Set Pets,"30.2765456, -81.3963967, Pet friendly accommodation, 4.9, Florida"
Ecoblu Spa & Salon,"31.052735799999997, -97.654382, Resort hotel, 4.5, Texas"
Chase Field Training Complex,"28.3777752, -97.6630936, Lodging, 4.0, Texas"
Century Motel,"32.7398357, -97.2756545, Motel, 3.7, Texas"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Howard Johnson Express Inn Gainesville FL,"29.617275, -82.340969, Hotel, 3.6, Florida"
Circle K mobil,"33.9830854, -117.7126653, Indoor lodging, 4.6, California"
Howard Johnson Express Inn Gainesville FL,"29.617275, -82.340969, Hotel, 3.6, Florida"
Kozy Acres,"41.6399932, -74.6789368, Lodging, 4.9, New York"
Econo Lodge Inn & Suites Six Flags,"32.7612885, -97.0940296, Hotel, 2.5, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
St Bernard's Park,"43.209758699999995, -77.6292266, Lodging, 4.0, New York"
Lake Cisco Rentals Cabins,"32.4370802, -99.0042168, Cabin rental agency, 4.7, Texas"
Best Western Bonita Springs Hotel And Suites - CLOSED,"26.332530199999997, -81.75392289999999, Hotel, 3.3, Florida"
Errol by the Sea,"28.992369, -80.867853, Indoor lodging, 4.4, Florida"
Trail Break at Schroon Lake Dining & Lodging,"43.851127899999994, -73.7576322, Motel, 4.6, New York"
King Country Lake Cabin Rental,"32.4042046, -95.5627567, Indoor lodging, 5.0, Texas"
Holiday Inn Express Andrews Lakeside Park,"32.3078812, -102.5432167, Hotel, 4.1, Texas"
Double Eagle Lodge Inc,"43.5386428, -76.0752122, Lodge, 4.9, New York"
"Serenity Rose Farm, Cabins & Event Space","30.328925299999998, -95.54484099999999, Retreat center, 4.8, Texas"
Lee Canyon,"36.3037018, -115.6796327, Ski resort, 4.6, Nevada"
Carson Hot Springs Resort,"39.193320199999995, -119.7519016, Hot spring hotel, 4.4, Nevada"
Summit Inn and Suites,"29.7002015, -95.37769899999999, Hotel, 3.3, Texas"
South Shore Resort,"27.889266799999998, -81.46984619999999, Resort hotel, 4.5, Florida"
